主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
1,10kV圈宏线,151开关,151负荷开关,151负荷开关,61,151负荷开关,
2,10kV银海线,153开关,153负荷开关,153负荷开关,64,153负荷开关,
3,10kV落垡线,155开关,155负荷开关,155负荷开关,67,155负荷开关,
4,10kV157备用线,157开关,157负荷开关,157负荷开关,70,157负荷开关,
5,10kV奥朗斯线,159开关,159负荷开关,159负荷开关,73,159负荷开关,
6,10kV董标垡线,161开关,161负荷开关,161负荷开关,76,161负荷开关,
7,10kV150接地变,150开关,150负荷开关,150负荷开关,79,150负荷开关,
8,10kV165备用线,165开关,165负荷开关,165负荷开关,82,165负荷开关,
9,10kV马圈东线,152开关,152负荷开关,152负荷开关,85,152负荷开关,
10,10kV马圈西线,154开关,154负荷开关,154负荷开关,88,154负荷开关,
11,10kV和瑞园线,156开关,156负荷开关,156负荷开关,91,156负荷开关,
12,10kV汇利线,158开关,158负荷开关,158负荷开关,94,158负荷开关,
13,10kV162备用线,162开关,162负荷开关,162负荷开关,97,162负荷开关,
14,10kV颐西湖线,164开关,164负荷开关,164负荷开关,100,164负荷开关,
15,10kV160接地变,160开关,160负荷开关,160负荷开关,103,160负荷开关,
16,10kV168备用线,168开关,168负荷开关,168负荷开关,106,168负荷开关,
17,10kV2061电容器,2061开关,2061电容器开关,2061电容器开关,109,2061电容器开关,
18,10kV2062电容器,2062开关,2062电容器开关,2062电容器开关,116,2062电容器开关,
19,10kV2071电容器,2071开关,2071电容器开关,2071电容器开关,123,2071电容器开关,
20,10kV2072电容器,2072开关,2072电容器开关,2072电容器开关,130,2072电容器开关,
21,35kV311备用线,311开关,311开关,311开关,34,311开关,
22,35kV313备用线,313开关,313开关,313开关,37,313开关,
23,35kV315备用线,315开关,315开关,315开关,40,315开关,
24,35kV马营线,317开关,317开关,317开关,43,317开关,
25,35kV马城线,312开关,312开关,312开关,46,312开关,
26,35kV314备用线,314开关,314开关,314开关,49,314开关,
27,35kV316备用线,316开关,316开关,316开关,52,316开关,
28,35kV318备用线,318开关,318开关,318开关,55,318开关,
29,1号主变110kV侧,101-0刀闸,101-0刀闸,101-0刀闸,17,101-0刀闸,
30,2号主变110kV侧,102-0刀闸,102-0刀闸,102-0刀闸,26,102-0刀闸,
31,110kV145分段,145-4刀闸,145-4刀闸,145-4刀闸,14,145-4刀闸,
32,110kV145分段,145-47接地刀闸,145-47地刀,145-47地刀,15,145-47地刀,
33,110kV145分段,145-5刀闸,145-5刀闸,145-5刀闸,12,145-5刀闸,
34,110kV145分段,145-57接地刀闸,145-57地刀,145-57地刀,13,145-57地刀,
35,110kV145分段,145开关,145母联开关,145母联开关,11,145母联开关,
36,35kV345分段,345开关,345母联开关,345母联开关,58,345母联开关,
37,10kV245分段,245开关,245母联开关,245母联开关,137,245母联开关,
38,110kV高马一线,111开关,111开关,111开关,1,111开关,
39,110kV高马一线,111-4刀闸,111-4刀闸,111-4刀闸,2,111-4刀闸,
40,110kV高马一线,111-47接地刀闸,111-47地刀,111-47地刀,3,111-47地刀,
41,110kV高马一线,111-2刀闸,111-2刀闸,111-2刀闸,4,111-2刀闸,
42,110kV高马一线,111-17接地刀闸,111-17地刀,111-17地刀,5,111-17地刀,
43,1号主变110kV侧,1-7刀闸,1-7刀闸,1-7刀闸,16,1-7刀闸,
44,1号主变,1号主变,,,,#1变档位,变压器升降档
45,1号主变,1号主变,,,,#1变档位急停,变压器急停
46,1号主变35kV侧,301开关,301开关,301开关,20,301开关,
47,1号主变10kV侧,201开关,201开关,201开关,23,201开关,
48,110kV高马二线,112开关,112开关,112开关,6,112开关,
49,110kV高马二线,112-5刀闸,112-5刀闸,112-5刀闸,7,112-5刀闸,
50,110kV高马二线,112-57接地刀闸,112-57地刀,112-57地刀,8,112-57地刀,
51,110kV高马二线,112-2刀闸,112-2刀闸,112-2刀闸,9,112-2刀闸,
52,110kV高马二线,112-17接地刀闸,112-17地刀,112-17地刀,10,112-17地刀,
53,2号主变110kV侧,2-7刀闸,2-7刀闸,2-7刀闸,25,2-7刀闸,
54,2号主变,2号主变,,,,#2变档位,变压器升降档
56,2号主变35kV侧,302开关,302开关,302开关,29,302开关,
57,2号主变10kV侧,202开关,202开关,202开关,32,202开关,
58,10kV圈宏线,151线路保护,151重合闸软压板投入,151重合闸软压板投入,1205,151重合闸软压板投入,
59,10kV银海线,153线路保护,153重合闸软压板投入,153重合闸软压板投入,1206,153重合闸软压板投入,
60,10kV落垡线,155线路保护,155重合闸软压板投入,155重合闸软压板投入,1207,155重合闸软压板投入,
61,10kV157备用线,157线路保护,157重合闸软压板投入,157重合闸软压板投入,1208,157重合闸软压板投入,
62,10kV奥朗斯线,159线路保护,159重合闸软压板投入,159重合闸软压板投入,1209,159重合闸软压板投入,
63,10kV董标垡线,161线路保护,161重合闸软压板投入,161重合闸软压板投入,1210,161重合闸软压板投入,
64,10kV163备用线,163线路保护,163重合闸软压板投入,163重合闸软压板投入,1211,163重合闸软压板投入,
65,10kV165备用线,165线路保护,165重合闸软压板投入,165重合闸软压板投入,1212,165重合闸软压板投入,
66,10kV马圈东线,152线路保护,152重合闸软压板投入,152重合闸软压板投入,1213,152重合闸软压板投入,
67,10kV马圈西线,154线路保护,154重合闸软压板投入,154重合闸软压板投入,1214,154重合闸软压板投入,
68,10kV和瑞园线,156线路保护,156重合闸软压板投入,156重合闸软压板投入,1215,156重合闸软压板投入,
70,10kV162备用线,162线路保护,162重合闸软压板投入,162重合闸软压板投入,1217,162重合闸软压板投入,
71,10kV162备用线,164线路保护,164重合闸软压板投入,164重合闸软压板投入,1218,164重合闸软压板投入,
72,10kV166备用线,166线路保护,166重合闸软压板投入,166重合闸软压板投入,1219,166重合闸软压板投入,
73,10kV168备用线,168线路保护,168重合闸软压板投入,168重合闸软压板投入,1220,168重合闸软压板投入,
74,35kV311备用线,311线路保护,311重合闸软压板投入,311重合闸软压板投入,1221,311重合闸软压板投入,
75,35kV313备用线,313线路保护,313重合闸软压板投入,313重合闸软压板投入,1222,313重合闸软压板投入,
76,35kV315备用线,315线路保护,315重合闸软压板投入,315重合闸软压板投入,1223,315重合闸软压板投入,
77,35kV马营线,317线路保护,317重合闸软压板投入,317重合闸软压板投入,1224,317重合闸软压板投入,
78,35kV马城线,312线路保护,312重合闸软压板投入,312重合闸软压板投入,1225,312重合闸软压板投入,
79,35kV314备用线,314线路保护,314重合闸软压板投入,314重合闸软压板投入,1226,314重合闸软压板投入,
80,35kV316备用线,316线路保护,316重合闸软压板投入,316重合闸软压板投入,1227,316重合闸软压板投入,
81,35kV318备用线,318线路保护,318重合闸软压板投入,318重合闸软压板投入,1228,318重合闸软压板投入,
82,35kV345分段,345分段保护,35kV备自投345自投投入,35kV备自投345自投投入,578,35kV备自投345自投投入,
83,10kV245分段,245分段保护,10kV备投245自投投入,10kV备投245自投投入,903,10kV备投245自投投入,
84,10kV汇利线,158线路保护,158重合闸软压板投入,158重合闸软压板投入,1229,158重合闸软压板投入,
